columna,en_2022,en_2023,en_2024,en_2025,comparable_2022_2024
AGNO,1,1,1,1,1
COD_COM_RBD,1,1,1,1,1
COD_DEPE,1,1,1,1,1
COD_DEPE2,1,1,1,1,1
COD_DEPROV_RBD,1,1,1,1,1
COD_PRO_RBD,1,1,1,1,1
COD_REG_RBD,1,1,1,1,1
CUR_COMB_01,1,1,1,1,1
CUR_COMB_02,1,1,1,1,1
CUR_COMB_TOT,1,1,1,1,1
CUR_SIM_01,1,1,1,1,1
CUR_SIM_02,1,1,1,1,1
CUR_SIM_03,1,1,1,1,1
CUR_SIM_04,1,1,1,1,1
CUR_SIM_05,1,1,1,1,1
CUR_SIM_06,1,1,1,1,1
CUR_SIM_07,1,1,1,1,1
CUR_SIM_08,1,1,1,1,1
CUR_SIM_TOT,1,1,1,1,1
DGV_RBD,1,1,1,1,1
ESTADO_ESTAB,1,1,1,1,1
MAT_ENS_1,1,1,1,1,1
MAT_ENS_2,1,1,1,1,1
MAT_ENS_3,1,1,1,1,1
MAT_ENS_4,1,1,1,1,1
MAT_ENS_5,1,1,1,1,1
MAT_ENS_6,1,1,1,1,1
MAT_ENS_7,1,1,1,1,1
MAT_ENS_8,1,1,1,1,1
MAT_HOM_1,1,1,1,1,1
MAT_HOM_2,1,1,1,1,1
MAT_HOM_3,1,1,1,1,1
MAT_HOM_4,1,1,1,1,1
MAT_HOM_5,1,1,1,1,1
MAT_HOM_6,1,1,1,1,1
MAT_HOM_7,1,1,1,1,1
MAT_HOM_8,1,1,1,1,1
MAT_HOM_TOT,1,1,1,1,1
MAT_MUJ_1,1,1,1,1,1
MAT_MUJ_2,1,1,1,1,1
MAT_MUJ_3,1,1,1,1,1
MAT_MUJ_4,1,1,1,1,1
MAT_MUJ_5,1,1,1,1,1
MAT_MUJ_6,1,1,1,1,1
MAT_MUJ_7,1,1,1,1,1
MAT_MUJ_8,1,1,1,1,1
MAT_MUJ_TOT,1,1,1,1,1
MAT_SI_1,1,1,1,1,1
MAT_SI_2,1,1,1,1,1
MAT_SI_4,1,1,1,1,1
MAT_SI_5,1,1,1,1,1
MAT_SI_TOT,1,1,1,1,1
MAT_TOTAL,1,1,1,1,1
NOM_COM_RBD,1,1,1,1,1
NOM_DEPROV_RBD,1,1,1,1,1
NOM_RBD,1,1,1,1,1
NOM_REG_RBD_A,1,1,1,1,1
RBD,1,1,1,1,1
RURAL_RBD,1,1,1,1,1
MAT_CHI,0,0,1,1,0
MAT_ETNIA,0,0,1,1,0
MAT_EXT,0,0,1,1,0
MAT_HOM_INT,0,0,1,1,0
MAT_INT_TOTAL,0,0,1,1,0
MAT_MUJ_INT,0,0,1,1,0
MAT_NAC,0,0,1,1,0
MAT_NB_5,0,0,1,0,0
MAT_NB_INT,0,0,1,0,0
MAT_NB_TOT,0,0,1,0,0
MAT_NO_ETNIA,0,0,1,1,0
MAT_SI_3,0,1,0,0,0
MAT_SI_6,0,0,1,1,0
MAT_SI_INT,0,0,1,1,0
NOMBRE_SLEP,0,0,1,1,0
SLEP,0,0,1,1,0
