columna,dtype_2022,dtype_2023,dtype_2024,rol_analitico
AGNO,Int64,Int64,Int64,Dimension tiempo
COD_COM_RBD,int64,int64,int64,Dimension territorio
COD_DEPE,int64,int64,int64,Dimension dependencia
COD_DEPE2,string,string,string,Dimension dependencia
COD_DEPROV_RBD,int64,int64,int64,Atributo complementario
COD_PRO_RBD,int64,int64,int64,Atributo complementario
COD_REG_RBD,int64,int64,int64,Dimension territorio
CUR_COMB_01,int64,int64,int64,Atributo complementario
CUR_COMB_02,int64,int64,int64,Atributo complementario
CUR_COMB_TOT,int64,int64,int64,Atributo complementario
CUR_SIM_01,int64,int64,int64,Atributo complementario
CUR_SIM_02,int64,int64,int64,Atributo complementario
CUR_SIM_03,int64,int64,int64,Atributo complementario
CUR_SIM_04,int64,int64,int64,Atributo complementario
CUR_SIM_05,int64,int64,int64,Atributo complementario
CUR_SIM_06,int64,int64,int64,Atributo complementario
CUR_SIM_07,int64,int64,int64,Atributo complementario
CUR_SIM_08,int64,int64,int64,Atributo complementario
CUR_SIM_TOT,int64,int64,int64,Atributo complementario
DGV_RBD,string,string,string,Atributo complementario
ESTADO_ESTAB,string,string,string,Dimension estado
MAT_ENS_1,int64,int64,int64,Atributo complementario
MAT_ENS_2,int64,int64,int64,Atributo complementario
MAT_ENS_3,int64,int64,int64,Atributo complementario
MAT_ENS_4,int64,int64,int64,Atributo complementario
MAT_ENS_5,int64,int64,int64,Atributo complementario
MAT_ENS_6,int64,int64,int64,Atributo complementario
MAT_ENS_7,int64,int64,int64,Atributo complementario
MAT_ENS_8,int64,int64,int64,Atributo complementario
MAT_HOM_1,int64,int64,int64,Atributo complementario
MAT_HOM_2,int64,int64,int64,Atributo complementario
MAT_HOM_3,int64,int64,int64,Atributo complementario
MAT_HOM_4,int64,int64,int64,Atributo complementario
MAT_HOM_5,int64,int64,int64,Atributo complementario
MAT_HOM_6,int64,int64,int64,Atributo complementario
MAT_HOM_7,int64,int64,int64,Atributo complementario
MAT_HOM_8,int64,int64,int64,Atributo complementario
MAT_HOM_TOT,int64,int64,int64,Atributo complementario
MAT_MUJ_1,int64,int64,int64,Atributo complementario
MAT_MUJ_2,int64,int64,int64,Atributo complementario
MAT_MUJ_3,int64,int64,int64,Atributo complementario
MAT_MUJ_4,int64,int64,int64,Atributo complementario
MAT_MUJ_5,int64,int64,int64,Atributo complementario
MAT_MUJ_6,int64,int64,int64,Atributo complementario
MAT_MUJ_7,int64,int64,int64,Atributo complementario
MAT_MUJ_8,int64,int64,int64,Atributo complementario
MAT_MUJ_TOT,int64,int64,int64,Atributo complementario
MAT_SI_1,int64,int64,int64,Atributo complementario
MAT_SI_2,int64,int64,int64,Atributo complementario
MAT_SI_4,float64,int64,int64,Atributo complementario
MAT_SI_5,float64,int64,int64,Atributo complementario
MAT_SI_TOT,int64,int64,int64,Atributo complementario
MAT_TOTAL,int64,int64,int64,Metrica principal
NOM_COM_RBD,string,string,string,Dimension territorio
NOM_DEPROV_RBD,string,string,string,Atributo complementario
NOM_RBD,string,string,string,Atributo establecimiento
NOM_REG_RBD_A,string,string,string,Dimension territorio
RBD,int64,int64,int64,Dimension establecimiento
RURAL_RBD,string,string,string,Atributo complementario
