agno,region,mat_total,rank
2022,RM,1379441,1.0
2022,VALPO,371567,2.0
2022,BBIO,320529,3.0
2022,MAULE,228149,4.0
2022,ARAUC,211015,5.0
2022,LGBO,198956,6.0
2022,LAGOS,185449,7.0
2022,COQ,177194,8.0
2022,ANTOF,132965,9.0
2022,NUBLE,98740,10.0
2023,RM,1367198,1.0
2023,VALPO,369302,2.0
2023,BBIO,318333,3.0
2023,MAULE,229550,4.0
2023,ARAUC,210922,5.0
2023,LGBO,199655,6.0
2023,LAGOS,184290,7.0
2023,COQ,176911,8.0
2023,ANTOF,134551,9.0
2023,NUBLE,98793,10.0
2024,RM,1346906,1.0
2024,VALPO,362664,2.0
2024,BBIO,312977,3.0
2024,MAULE,228281,4.0
2024,ARAUC,209173,5.0
2024,LGBO,197487,6.0
2024,LAGOS,181299,7.0
2024,COQ,174231,8.0
2024,ANTOF,133316,9.0
2024,NUBLE,97886,10.0
